dataset_name,total_records,valid_records,invalid_records,error_count,warning_count,quality_score,quality_status,validation_timestamp
clients,50,50,0,0,0,100.0,EXCELLENT,2026-08-15T13:34:28.909371+00:00
portfolios,100,100,0,0,0,100.0,EXCELLENT,2026-08-15T13:34:28.909371+00:00
securities,120,120,0,0,0,100.0,EXCELLENT,2026-08-15T13:34:28.909371+00:00
holdings,600,600,0,0,0,100.0,EXCELLENT,2026-08-15T13:34:28.909371+00:00
portfolio_performance,1200,1200,0,0,0,100.0,EXCELLENT,2026-08-15T13:34:28.909371+00:00
